   1 -26.16000 -19.71993 -16.48998 -13.12063 -12.05378  -9.41105  -6.88685  -3.82050  -1.56691   0.85987   1.77516   3.09933   5.56616   6.03835   6.48441   7.14310   7.96342   8.40702   8.89199   9.32682   9.81862  10.21097  10.92909  11.35813  11.70705  12.36158  13.25158  13.77300  14.01782  14.53758  14.93531  15.41262  15.67782  16.19369  16.70339  17.44685 
   2 -26.20927 -19.89354 -16.35515 -13.14200 -11.90559  -9.39991  -7.12601  -3.59848  -1.20972   0.90341   1.57864   3.07616   5.36334   5.94482   6.24044   7.12831   7.99016   8.23732   8.65563   9.22701   9.42789  10.10213  10.36830  11.08691  11.39818  12.46951  13.21429  13.70402  14.08832  14.69665  15.25022  15.46594  16.04893  16.68403  17.07142  17.57139 
   3 -26.25951 -20.05326 -16.21421 -13.18147 -11.77613  -9.35641  -7.31884  -3.39443  -0.94425   1.01667   1.36110   3.12546   5.11408   5.75848   6.16397   7.15702   7.70838   8.06352   8.53974   8.81896   9.46957   9.87506  10.15634  10.58928  11.41578  12.56821  12.77125  13.62002  14.11293  14.83734  15.63585  15.91850  16.44590  17.03529  17.40203  17.73877 
   4 -26.31791 -20.19991 -16.07276 -13.23657 -11.68797  -9.27917  -7.45889  -3.22170  -0.78895   1.06665   1.27359   3.21788   4.86518   5.50851   6.20843   7.19597   7.24333   7.92431   8.21418   8.81570   9.13107   9.72684  10.09207  10.42981  11.46996  12.25610  12.68712  13.27744  14.20693  15.13434  15.95825  16.31551  16.78848  17.28310  17.46027  17.72834 
   5 -26.37757 -20.32273 -15.93358 -13.30785 -11.63982  -9.16454  -7.52946  -3.09096  -0.70105   0.85272   1.50759   3.32277   4.67367   5.25947   6.28703   6.76975   7.26413   7.52103   8.15094   8.60815   9.00009   9.42548   9.99332  10.68422  11.52843  11.83096  12.64345  13.01522  14.36520  15.32992  16.09384  16.41882  17.11572  17.36395  17.60151  17.95946 
   6 -26.43776 -20.42139 -15.79609 -13.39192 -11.64107  -9.02200  -7.51318  -3.00623  -0.63914   0.62243   1.78016   3.40851   4.58380   5.02889   6.21062   6.55006   6.95540   7.48419   7.89902   8.50316   8.83010   9.32924   9.93971  10.86948  11.43443  11.76049  12.28947  13.09820  14.53932  15.34841  15.87163  16.73699  16.99587  17.41071  18.01323  18.22673 
   7 -26.50737 -20.49520 -15.67973 -13.49284 -11.69579  -8.87649  -7.40978  -2.98098  -0.59099   0.38601   2.01765   3.44532   4.56315   4.82844   5.86380   6.53863   6.68156   7.38376   7.74504   8.37932   8.69207   9.45412   9.88267  10.66515  11.53102  11.84251  12.00986  13.26114  14.70108  15.12436  15.80525  16.71726  16.91492  17.66272  18.14768  18.63452 
   8 -26.57912 -20.54181 -15.57168 -13.60306 -11.78887  -8.72843  -7.20777  -3.00896  -0.55754   0.17080   2.21942   3.43514   4.53554   4.73990   5.54097   6.20201   6.80663   7.06837   7.86382   8.09889   8.80074   9.60934   9.84555  10.36042  11.37137  11.93119  12.19074  13.44214  14.64986  15.00603  15.76356  16.62821  16.86564  17.89767  18.38712  18.95987 
   9 -26.64905 -20.56136 -15.48223 -13.72105 -11.90896  -8.58160  -6.91969  -3.08267  -0.59199   0.03159   2.38679   3.35621   4.45541   4.72494   5.28984   5.97268   6.56776   7.15856   7.68791   8.18690   8.92011   9.65430   9.89116  10.18031  11.02902  12.17971  12.46459  13.63191  14.33732  15.02026  15.79287  16.43870  17.00433  17.95562  18.61390  19.02410 
  10 -26.72285 -20.55541 -15.41766 -13.83723 -12.05146  -8.43047  -6.56232  -3.19285  -0.76163   0.01481   2.51994   3.23570   4.26699   4.78802   5.07507   5.89600   6.23925   7.38849   7.45090   8.43244   8.95001   9.62031   9.94283  10.25309  10.72468  12.45200  12.74672  13.81116  14.03983  14.84682  15.98444  16.18622  17.22409  17.84827  18.71608  18.94114 
